nome_blox,course_name,area_do_conhecimento,area_funcional,nota
TECNOLOGIA DA INFORMAÇÃO,ADMINISTRACAO,Básico,Tecnologia da Informação,547.5
ESTRATÉGIAS DE NEGOCIAÇÃO,ADMINISTRACAO,Técnico,Estratégia e Negociação,606.7999999999998
Começando a Trabalhar com Banco de dados,SISTEMAS DE INFORMAÇÃO,Técnico,"Software, Programação e Dados",386.7
MACROECONOMIA,ADMINISTRACAO,Básico,Finanças e Economia,566.4999999999999
Conhecendo as Redes Neurais,SISTEMAS DE INFORMAÇÃO,Técnico,Tecnologia da Informação,387
ESTRATÉGIAS EM GESTÃO DE PESSOAS,ADMINISTRACAO,Técnico,Gestão de Pessoas,905.6999999999995
GESTÃO DE NEGÓCIOS NA INTERNET,ADMINISTRACAO,Técnico,Estratégia e Negociação,514.3000000000003
ADMINISTRACAO MERCADOLÓGICA I,ADMINISTRACAO,Técnico,Marketing,573
ADMINISTRAÇÃO DA ESTRUTURA DE CAPITAL,ADMINISTRACAO,Básico,Finanças e Economia,623.5999999999999
Alta Disponibilidade em Nuvens e Containers,SISTEMAS DE INFORMAÇÃO,Complementar,"Software, Programação e Dados",353.6
CONTABILIDADE GERENCIAL E CUSTOS,ADMINISTRACAO,Básico,Finanças e Economia,822.6999999999992
NEGÓCIOS FAMILIARES,ADMINISTRACAO,Técnico,Estratégia e Negociação,385.4000000000001
Introdução aos Sistemas Distribuídos,SISTEMAS DE INFORMAÇÃO,Técnico,Tecnologia da Informação,286.1
DE GRAVETO A CÓDIGO BINÁRIO,SISTEMAS DE INFORMAÇÃO,Técnico,Tecnologia da Informação,428.5000000000001
Aprofundando a Informática segundo as Leis.,SISTEMAS DE INFORMAÇÃO,Técnico,Tecnologia da Informação,464
ADMINISTRACAO DE PRODUÇÃO E MATERIAIS,ADMINISTRACAO,Técnico,Produção,554.6
Algoritmos para Organizar e Procurar Melhor,SISTEMAS DE INFORMAÇÃO,Técnico,"Software, Programação e Dados",127.2
Introdução a Governança de TI,SISTEMAS DE INFORMAÇÃO,Complementar,Tecnologia da Informação,407.09999999999997
PESQUISA DE MERCADO E DESENVOLVIMENTO DE NOVOS PRODUTOS,ADMINISTRACAO,Área de conhecimento desconhecido,Área funcional desconhecida,771.3999999999996
SOCIOLOGIA,SISTEMAS DE INFORMAÇÃO,Básico,Sociedade e Mundo,453.20000000000005
"SISTEMAS, ORGANIZAÇÃO E MÉTODOS",SISTEMAS DE INFORMAÇÃO,Técnico,Gestão de Pessoas,794.5999999999997
GESTÃO DE COMPETÊNCIAS,ADMINISTRACAO,Técnico,Gestão de Pessoas,979.9999999999994
MATEMÁTICA FINANCEIRA,ADMINISTRACAO,Quantitativo,Raciocínio Lógico e Matemático,658.9999999999999
MÉTODOS QUANTITATIVOS,ADMINISTRACAO,Quantitativo,Raciocínio Lógico e Matemático,588
JOGOS EMPRESARIAIS,ADMINISTRACAO,Quantitativo,Finanças e Economia,1008.4999999999998
Conhecendo a Teoria Geral de Sistemas Computacionais,SISTEMAS DE INFORMAÇÃO,Técnico,Tecnologia da Informação,289.70000000000005
PLANEJAMENTO ESTRATÉGICO,ADMINISTRACAO,Área de conhecimento desconhecido,Área funcional desconhecida,554.5999999999999
RESPONSABILIDADE SOCIAL E AMBIENTAL,ADMINISTRACAO,Técnico,Ciências do Ambiente,1011.2999999999997
