nome_blox,status,nome_curso,Record Count,area_conhecimento
Avaliações internas e externas na educação,ongoing,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),114,1
Como funciona a EJA?,cancelled,Extensão em Negócios e Inovação,114,1
Compras na Administração Pública,cancelled,Extensão em Negócios e Inovação,108,1
O que é conhecimento?,ongoing,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),108,1
Seja um coach,cancelled,Extensão em Negócios e Inovação,102,1
Concepções pedagógicas da avaliação,ongoing,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),102,1
Fundamentos da pedagogia,ongoing,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),102,1
Cidadão consciente promove o desenvolvimento,ongoing,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),102,1
Conhecendo a estatística,cancelled,Extensão em Negócios e Inovação,102,1
Paradigmas pedagógicos,cancelled,Extensão em Negócios e Inovação,102,1
Competitividade de mercado,ongoing,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),102,1
Entendendo Banco de Dados,cancelled,Pós-Graduação em Gestão Empresarial,99,1
Layout industrial inteligente,cancelled,Extensão em Negócios e Inovação,96,1
Como é o planejamento pedagógico?,ongoing,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),96,1
O que é Educação Básica?,ongoing,Extensão em Negócios e Inovação,96,1
Como funciona a EJA?,ongoing,Extensão em Negócios e Inovação,96,1
Valorização profissional – Retenção de profissionais,cancelled,Extensão em Negócios e Inovação,96,1
A Gestão de Pessoas Contemporânea,cancelled,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),96,1
Montando uma seleção excelente de profissionais,cancelled,Extensão em Negócios e Inovação,92,1
Indicadores financeiros básicos,cancelled,Extensão em Negócios e Inovação,92,1
Como é o planejamento pedagógico?,cancelled,Extensão em Negócios e Inovação,90,1
Desafios da EJA,ongoing,Extensão em Negócios e Inovação,90,1
O que é Direito Administrativo?,cancelled,Extensão em Negócios e Inovação,90,1
Gestão de Compras,cancelled,Extensão em Negócios e Inovação,90,1
Inovar para o sucesso!,ongoing,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),84,1
Como aprendemos: Teorias de Aprendizagem,ongoing,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),84,1
Cidadão consciente promove o desenvolvimento,ongoing,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),84,1
Avaliações internas e externas na educação,cancelled,Extensão em Negócios e Inovação,84,1
Ferramentas para Educação Infantil,ongoing,Extensão em Negócios e Inovação,84,1
O que você precisa saber sobre Linguagem SQL,ongoing,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),84,1
Gestão estratégica da tecnologia da informação,cancelled,Extensão em Negócios e Inovação,84,1
Tipos e modelos de organizações,cancelled,Extensão em Negócios e Inovação,84,1
Projeto e planejamento escolar,ongoing,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),84,1
Avaliações internas e externas na educação,ongoing,Extensão em Negócios e Inovação,84,1
Educação 4.0: O que devemos esperar,cancelled,Pós-Graduação em Gestão Empresarial,81,1
Tudo que você precisa saber sobre logística reversa,cancelled,Pós-Graduação em Gestão Empresarial,81,1
Demonstrativos financeiros e contábeis,cancelled,Pós-Graduação em Gestão Empresarial,81,1
Práticas de Mentoring,cancelled,Pós-Graduação lato sensu em Processos Inovadores de ensino e aprendizagem na Educação Profissional (Senai),78,1
Gerenciamento de sistemas operacionais,cancelled,Extensão em Negócios e Inovação,78,1
Como é a sociedade brasileira?,cancelled,Extensão em Negócios e Inovação,78,1
Como é o planejamento pedagógico?,ongoing,Pós-Graduação lato sensu em Processos Inovadores de Ensino e Aprendizagem na Educação Básica (Sesi),78,1
O que é Educação Infantil?,ongoing,Extensão em Negócios e Inovação,78,1
