,materia,a.conhecimento
6016,Estudos Estratégicos: Europa,"Agricultura, Silvicultura, Pesca e Veterinária"
6017,Diplomacia e Negociação Internacional,Negócios e Administração
6018,"Estudos Estratégicos: China, Rússia e Índia","Humanidades, Artes e Linguagens"
6019,"Estudos Estratégicos:Japão, TIgres Asiáticos e Austrália",programas genericos
6020,Análise de Ambiente de Negócios Digitais,Negócios e Administração
6021,Consumo e Entretenimento Digital,Negócios e Administração
6022,Gestão Financeira de Curto Prazo,Negócios e Administração
6023,Gestão de Marcas,Negócios e Administração
6024,Gestão de TI,Negócios e Administração
6025,Desenvolvimento de Produtos Digitais,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
6026,Gestão Financeira de Longo Prazo,Negócios e Administração
6027,Comunicação e Resp.Social e Ambiental,"Ciências Sociais, Jornalismo e Informação"
6028,Gestão de E-Business,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
6029,Estratégias Narrativas Audiovisuais,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
6030,Gerenciamento de Crise e Reputação,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
6031,Interfaces Gráficas e Digitais,"Humanidades, Artes e Linguagens"
6032,Fotojornalismo,Educação
6033,Comunicação Corporativa e Assessoria de Imprensa,Negócios e Administração
6034,Produção de Jornalismo de Audiovisual I,"Humanidades, Artes e Linguagens"
6035,Produção em Mídias Digitais,"Engenharia, Produção e Construção"
6036,Rádio e Mídias Sonoras I,"Ciências Sociais, Jornalismo e Informação"
6037,Técnicas de Apuração e Redação Jornalística,programas genericos
6038,Cor e Composição,"Humanidades, Artes e Linguagens"
6039,"Moda, Arte e Tecnologia","Humanidades, Artes e Linguagens"
6040,Cor e Percepção,"Humanidades, Artes e Linguagens"
6041,Desenho Digital Aplicado,"Engenharia, Produção e Construção"
6042,Gestão do Design e Inovação,Negócios e Administração
6043,Forecasting e Coolhunting,Educação
6044,Varejo de Moda e Merchandising,Negócios e Administração
6045,Produção de Moda,"Humanidades, Artes e Linguagens"
6046,After Effects,Educação
6047,História da Moda e da Indumentária,"Humanidades, Artes e Linguagens"
6048,Ergonomia Aplicada a Moda,"Engenharia, Produção e Construção"
6049,Ergonomia Aplicada ao Design,"Engenharia, Produção e Construção"
6050,Fotografia de Moda,"Humanidades, Artes e Linguagens"
6051,"Moda, Comunicação e Digitalidades","Humanidades, Artes e Linguagens"
6052,Tipografia,Educação
6053,Produção Gráfica,"Humanidades, Artes e Linguagens"
6054,Geopolítica,Educação
6055,"Estudos Estratégicos: Eua, Canadá e México",programas genericos
6056,Análise de Ambiente de Negócios Digitais,Negócios e Administração
6057,Consumo e Entretenimento Digital,Negócios e Administração
6058,Gestão de TI,Negócios e Administração
6059,Desenvolvimento de Produtos Digitais,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
6060,Gestão de E-Business,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
6061,Produção e Edição de Reportagem I,"Engenharia, Produção e Construção"
6062,Projeto II - Identidade Visual,"Humanidades, Artes e Linguagens"
6063,Projeto II - Moda e Identidade,"Humanidades, Artes e Linguagens"
6064,Rádio e Mídias Sonoras II,"Ciências Sociais, Jornalismo e Informação"
6065,Análise de Novos Negócios,Negócios e Administração
6066,Ciência Política,"Humanidades, Artes e Linguagens"
6067,Comunicação e Resp.Social e Ambiental,"Ciências Sociais, Jornalismo e Informação"
6068,Conflito e Segurança Nas Relações Internacionais,"Ciências Sociais, Jornalismo e Informação"
6069,Criação de Campanhas e Portfólio Final,Educação
6070,Diplomacia e Negociação Internacional,Negócios e Administração
6071,Empreendedorismo,Negócios e Administração
6072,Espanhol I,Educação
6073,Espanhol II,Educação
6074,Estatística Aplicada,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
6075,Estratégicas de Custo e Preço,Negócios e Administração
6076,"Estudos Estratégicos:Japão, TIgres Asiáticos e Austrália",programas genericos
6077,Estudos Estratégicos: América do Sul e Caribe,Ciências Naturais
6078,"Estudos Estratégicos: China, Rússia e Índia","Humanidades, Artes e Linguagens"
6079,"Estudos Estratégicos: Eua, Canadá e México",programas genericos
6080,Estudos Estratégicos: Europa,"Agricultura, Silvicultura, Pesca e Veterinária"
6081,Estudos Estratégicos: Oriente Médio e África,"Humanidades, Artes e Linguagens"
6082,Ética e Legislação do Design,"Humanidades, Artes e Linguagens"
6083,Ética e Responsabilidade Empresarial,Negócios e Administração
6084,Ética Jornalística,"Ciências Sociais, Jornalismo e Informação"
6085,Fundamentos de Ergonomia,"Engenharia, Produção e Construção"
6086,Geografia dos Negócios Internacionais,"Ciências Sociais, Jornalismo e Informação"
6087,Gestão Contábil,Negócios e Administração
6088,Gestão da Inovação,Negócios e Administração
6089,Gestão de Mudanças,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
6090,Gestão de E-Business,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
6091,Gestão de Marcas,Negócios e Administração
6092,Gestão de Operações,Negócios e Administração
6093,Gestão e Qualidade,Negócios e Administração
6094,Gestão Estratégica de Pessoas,Negócios e Administração
6095,Gestão Financeira de Longo Prazo,Negócios e Administração
6096,História Das Relações Internacionais Moderna,"Ciências Sociais, Jornalismo e Informação"
6097,História Das Relações Internacionais Contemporânea,"Humanidades, Artes e Linguagens"
6098,História do Design,"Humanidades, Artes e Linguagens"
6099,História do Jornalismo,"Humanidades, Artes e Linguagens"
6100,Inglês I,Educação
6101,Inglês II,Educação
6102,Introdução à Administração Contemporânea,Negócios e Administração
6103,Introdução ao Jornalismo,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
6104,Introdução ao Estudo Das Relações Internacionais,"Ciências Sociais, Jornalismo e Informação"
6105,Jornalismo de Dados,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
6106,Legislação Jornalística,Direito
6107,Linguagem Visual,"Humanidades, Artes e Linguagens"
6108,Logística Internacional,Negócios e Administração
6109,Matemática Aplicada na Administração,Negócios e Administração
6110,Mobilidade e Aplicativos,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
6111,Organizações Internacionais,"Ciências Sociais, Jornalismo e Informação"
6112,Produção de Imagem,"Humanidades, Artes e Linguagens"
6113,Produção de Som,"Humanidades, Artes e Linguagens"
6114,Projeto I - Princípios da Comunicação Visual e da Moda,"Humanidades, Artes e Linguagens"
6115,Psicologia Aplicada às Organizações,Psicologia e Desenvolvimento Pessoal
6116,Módulo Representação:Sub-Módulo Desenho Digital,"Engenharia, Produção e Construção"
6117,Módulo Representação: Sub-Módulo Desenho Livre,"Engenharia, Produção e Construção"
6118,Mód.Representação: Sub-Módulo Desenho Técnico,"Engenharia, Produção e Construção"
6119,Semiótica Aplicada ao Design,"Humanidades, Artes e Linguagens"
6120,Sistema do Comércio Exterior Brasileiro,Saúde e Bem-Estar Social
6121,Tecnologias e Sistemas de Informação,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
6122,Teoria Geral da Administração,Negócios e Administração
6123,Teoria Geral do Direito,Direito
6124,Teorias do Jornalismo,"Engenharia, Produção e Construção"
6125,Teorias Políticas,"Engenharia, Produção e Construção"
6126,Estratégias Narrativas Audiovisuais,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
6127,Introdução ao Jornalismo,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
6128,Módulo Representação: Sub-Módulo Desenho Livre,"Engenharia, Produção e Construção"
6129,Módulo Representação:Sub-Módulo Desenho Digital,"Engenharia, Produção e Construção"
6130,Mód.Representação: Sub-Módulo Desenho Técnico,"Engenharia, Produção e Construção"
6131,Projeto I - Princípios da Comunicação Visual e da Moda,"Humanidades, Artes e Linguagens"
6132,Linguagem Visual,"Humanidades, Artes e Linguagens"
6133,Gerenciamento de Crise e Reputação,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
6134,Jornalismo de Dados,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
6135,Interfaces Gráficas e Digitais,"Humanidades, Artes e Linguagens"
6136,Legislação Jornalística,Direito
6137,Teorias do Jornalismo,"Engenharia, Produção e Construção"
6138,Fotojornalismo,Educação
6139,Comunicação Corporativa e Assessoria de Imprensa,Negócios e Administração
6140,Produção de Jornalismo de Audiovisual I,"Humanidades, Artes e Linguagens"
6141,Produção em Mídias Digitais,"Engenharia, Produção e Construção"
6142,Ética Jornalística,"Ciências Sociais, Jornalismo e Informação"
6143,Rádio e Mídias Sonoras I,"Ciências Sociais, Jornalismo e Informação"
6144,Técnicas de Apuração e Redação Jornalística,programas genericos
6145,Ciência Política,"Humanidades, Artes e Linguagens"
6146,História do Jornalismo,"Humanidades, Artes e Linguagens"
6147,História do Design,"Humanidades, Artes e Linguagens"
6148,Cor e Composição,"Humanidades, Artes e Linguagens"
6149,"Moda, Arte e Tecnologia","Humanidades, Artes e Linguagens"
6150,Cor e Percepção,"Humanidades, Artes e Linguagens"
6151,Fundamentos de Ergonomia,"Engenharia, Produção e Construção"
6152,Desenho Digital Aplicado,"Engenharia, Produção e Construção"
6153,Matemática Aplicada na Administração,Negócios e Administração
6154,Psicologia Aplicada às Organizações,Psicologia e Desenvolvimento Pessoal
6155,Ética e Responsabilidade Empresarial,Negócios e Administração
6156,Gestão do Design e Inovação,Negócios e Administração
6157,Forecasting e Coolhunting,Educação
6158,Varejo de Moda e Merchandising,Negócios e Administração
6159,Produção de Moda,"Humanidades, Artes e Linguagens"
6160,Ética e Legislação do Design,"Humanidades, Artes e Linguagens"
6161,História da Moda e da Indumentária,"Humanidades, Artes e Linguagens"
6162,Ergonomia Aplicada a Moda,"Engenharia, Produção e Construção"
6163,Ergonomia Aplicada ao Design,"Engenharia, Produção e Construção"
6164,Fotografia de Moda,"Humanidades, Artes e Linguagens"
6165,"Moda, Comunicação e Digitalidades","Humanidades, Artes e Linguagens"
6166,Produção Gráfica,"Humanidades, Artes e Linguagens"
6167,Semiótica Aplicada ao Design,"Humanidades, Artes e Linguagens"
6168,Tecnologias e Sistemas de Informação,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
6169,Teorias Políticas,"Engenharia, Produção e Construção"
6170,Sistema do Comércio Exterior Brasileiro,Saúde e Bem-Estar Social
6171,Teoria Geral do Direito,Direito
6172,Introdução ao Estudo Das Relações Internacionais,"Ciências Sociais, Jornalismo e Informação"
6173,Gestão e Qualidade,Negócios e Administração
6174,Gestão de Mudanças,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
6175,Análise de Novos Negócios,Negócios e Administração
6176,Gestão da Inovação,Negócios e Administração
6177,Gestão de Operações,Negócios e Administração
6178,Gestão Estratégica de Pessoas,Negócios e Administração
6179,Estratégicas de Custo e Preço,Negócios e Administração
6180,Estatística Aplicada,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
6181,Gestão Contábil,Negócios e Administração
6182,Empreendedorismo,Negócios e Administração
6183,Empreendedorismo,Negócios e Administração
6184,Teoria Geral da Administração,Negócios e Administração
6185,Inglês II,Educação
6186,História Das Relações Internacionais Moderna,"Ciências Sociais, Jornalismo e Informação"
6187,Geografia dos Negócios Internacionais,"Ciências Sociais, Jornalismo e Informação"
6188,Espanhol I,Educação
6189,Inglês I,Educação
6190,Espanhol II,Educação
6191,Estudos Estratégicos: Oriente Médio e África,"Humanidades, Artes e Linguagens"
6192,Conflito e Segurança Nas Relações Internacionais,"Ciências Sociais, Jornalismo e Informação"
6193,Logística Internacional,Negócios e Administração
6194,Geopolítica,Educação
6195,"Estudos Estratégicos: Eua, Canadá e México",programas genericos
6196,Organizações Internacionais,"Ciências Sociais, Jornalismo e Informação"
6197,Estudos Estratégicos: América do Sul e Caribe,Ciências Naturais
6198,História Das Relações Internacionais Contemporânea,"Humanidades, Artes e Linguagens"
6199,Estudos Estratégicos: Europa,"Agricultura, Silvicultura, Pesca e Veterinária"
6200,Diplomacia e Negociação Internacional,Negócios e Administração
6201,"Estudos Estratégicos: China, Rússia e Índia","Humanidades, Artes e Linguagens"
6202,"Estudos Estratégicos:Japão, TIgres Asiáticos e Austrália",programas genericos
6203,Análise de Ambiente de Negócios Digitais,Negócios e Administração
6204,Consumo e Entretenimento Digital,Negócios e Administração
6205,Produção de Som,"Humanidades, Artes e Linguagens"
6206,Produção de Imagem,"Humanidades, Artes e Linguagens"
6207,Mobilidade e Aplicativos,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
6208,Gestão de TI,Negócios e Administração
6209,Desenvolvimento de Produtos Digitais,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
6210,Criação de Campanhas e Portfólio Final,Educação
6211,Gestão de E-Business,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
6212,Finanças Empresariais,Negócios e Administração
6213,Formação de Equipes e Liderança,Psicologia e Desenvolvimento Pessoal
6214,Formação de Equipes e Liderança,Psicologia e Desenvolvimento Pessoal
6215,Teoria Das Organizações,Negócios e Administração
6216,Teoria Das Organizações,Negócios e Administração
6217,Estruturas de Governança e Sucessão,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
6218,Estruturas de Governança e Sucessão,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
6219,Consultoria Empresarial,Negócios e Administração
6220,Estratégias de Cooperação,Educação
6221,Estratégias Narrativas Audiovisuais,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
6222,Gerenciamento de Crise e Reputação,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
6223,Interfaces Gráficas e Digitais,"Humanidades, Artes e Linguagens"
6224,Fotojornalismo,Educação
6225,Comunicação Corporativa e Assessoria de Imprensa,Negócios e Administração
6226,Produção de Jornalismo de Audiovisual I,"Humanidades, Artes e Linguagens"
6227,Produção em Mídias Digitais,"Engenharia, Produção e Construção"
6228,Rádio e Mídias Sonoras I,"Ciências Sociais, Jornalismo e Informação"
6229,Técnicas de Apuração e Redação Jornalística,programas genericos
6230,Cor e Composição,"Humanidades, Artes e Linguagens"
6231,"Moda, Arte e Tecnologia","Humanidades, Artes e Linguagens"
6232,Cor e Percepção,"Humanidades, Artes e Linguagens"
6233,Desenho Digital Aplicado,"Engenharia, Produção e Construção"
6234,Gestão do Design e Inovação,Negócios e Administração
6235,Forecasting e Coolhunting,Educação
6236,Varejo de Moda e Merchandising,Negócios e Administração
6237,Produção de Moda,"Humanidades, Artes e Linguagens"
6238,História da Moda e da Indumentária,"Humanidades, Artes e Linguagens"
6239,Ergonomia Aplicada a Moda,"Engenharia, Produção e Construção"
6240,Ergonomia Aplicada ao Design,"Engenharia, Produção e Construção"
6241,Fotografia de Moda,"Humanidades, Artes e Linguagens"
6242,"Moda, Comunicação e Digitalidades","Humanidades, Artes e Linguagens"
6243,Produção Gráfica,"Humanidades, Artes e Linguagens"
6244,Geopolítica,Educação
6245,Análise de Ambiente de Negócios Digitais,Negócios e Administração
6246,Consumo e Entretenimento Digital,Negócios e Administração
6247,Gestão de TI,Negócios e Administração
6248,Desenvolvimento de Produtos Digitais,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
6249,Gestão de TI,Negócios e Administração
6250,Desenvolvimento de Produtos Digitais,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
6251,Produção de Imagem,"Humanidades, Artes e Linguagens"
6252,Produção de Som,"Humanidades, Artes e Linguagens"
6253,Produção Web,"Engenharia, Produção e Construção"
6254,Finanças II,Negócios e Administração
6255,Trade Marketing,Negócios e Administração
6256,Inteligência Competitiva,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
6257,Criação Digital,"Agricultura, Silvicultura, Pesca e Veterinária"
6258,Projeto Monográfico,Educação
6259,Tópicos Especiais,Direito
6260,Gestão de E-Business,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
6261,Mobilidade e Aplicativos,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
6262,Criação de Campanhas e Portfólio Final,Educação
6263,Comunicação e Responsabilidade Social,"Humanidades, Artes e Linguagens"
6264,Finanças III,Negócios e Administração
6265,Tópicos Avançados,"Engenharia, Produção e Construção"
6266,Projeto Experimental - PGE I,"Engenharia, Produção e Construção"
6267,TCC - Monografia I,programas genericos
6268,Simulador de TI,Negócios e Administração
6269,Projeto Experimental - PGE II,"Engenharia, Produção e Construção"
6270,TCC - Monografia II,programas genericos
6271,Sociologia,"Ciências Sociais, Jornalismo e Informação"
6272,Marketing I,Negócios e Administração
6273,Linguagem e Comunicação,Programas Interdisciplinares
6274,Ética e Legislação,Direito
6275,Pensamento Filosófico,"Ciências Sociais, Jornalismo e Informação"
6276,Cibercultura e Comunicação Digital,Negócios e Administração
6277,"Comunicação, Cultura e Poder",Negócios e Administração
6278,Marketing II,Negócios e Administração
6279,Metodos Quantitativos,programas genericos
6280,História Contemporânea do Brasil,"Humanidades, Artes e Linguagens"
6281,História da Arte,"Humanidades, Artes e Linguagens"
6282,Marketing III,Negócios e Administração
6283,Computação Gráfica,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
6284,Teorias da Comunicação,"Engenharia, Produção e Construção"
6285,Fotografia I,"Humanidades, Artes e Linguagens"
6286,Finanças I,Negócios e Administração
6287,Produção Audiovisual I,"Humanidades, Artes e Linguagens"
6288,Antropologia,"Ciências Sociais, Jornalismo e Informação"
6289,Economia,"Ciências Sociais, Jornalismo e Informação"
6290,Psicologia,Psicologia e Desenvolvimento Pessoal
6291,Promoções e Incentivos,Educação
6292,Análise do Ambiente de Negócios Digitais,Negócios e Administração
6293,Consumo e Entretenimento Digital,Negócios e Administração
6294,"Criação, Promoção e Merchandising",Negócios e Administração
6295,Design de Marcas,"Humanidades, Artes e Linguagens"
6296,Marketing de Relacionamento,Negócios e Administração
6297,Gestão de Marcas,Negócios e Administração
6298,Gestão de Projetos,Negócios e Administração
6299,"Gestão,Inovação e Empreendedorismo",Negócios e Administração
6300,Marketing IV,Negócios e Administração
6301,Pontos de Contato,Educação
6302,Planejamento de Comunicação,Programas Interdisciplinares
6303,Direção de Arte,"Humanidades, Artes e Linguagens"
6304,Fotografia II,"Humanidades, Artes e Linguagens"
6305,Redação,programas genericos
6306,Mercado Publicitário,Negócios e Administração
6307,Processo Criativo,"Humanidades, Artes e Linguagens"
6308,Linguagem Aplicada,"Humanidades, Artes e Linguagens"
6309,Pesquisa de Mercado,"Ciências Sociais, Jornalismo e Informação"
6310,Campanha Institucional e Governamental,"Agricultura, Silvicultura, Pesca e Veterinária"
6311,Produção Audiovisual II,"Humanidades, Artes e Linguagens"
6312,Gestão de TI,Negócios e Administração
6313,Desenvolvimento de Produtos Digitais,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
6314,Produção de Imagem,"Humanidades, Artes e Linguagens"
6315,Produção de Som,"Humanidades, Artes e Linguagens"
6316,Mobilidade e Aplicativos,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
6317,Gestão Financeira de Curto Prazo,Negócios e Administração
6318,Gestão de Marcas,Negócios e Administração
6319,Gestão de Projetos,Negócios e Administração
6320,Projeto Monográfico,Educação
6321,Storytelling e Transmídia,Educação
6322,Gestão de E-Business,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
6323,Criação de Campanhas e Portfólio Final,Educação
6324,Comunicação e Responsabilidade Social,"Humanidades, Artes e Linguagens"
6325,Gestão Financeira de Longo Prazo,Negócios e Administração
6326,Projeto de Graduação em Publicidade e Propaganda I (Pgp I),programas genericos
6327,TCC I,programas genericos
6328,Projeto de Graduação em Publicidade e Propaganda II (Pgp II),programas genericos
6329,TCC II,programas genericos
6330,Mercado Publicitário,Negócios e Administração
6331,Pensamento Filosófico,"Ciências Sociais, Jornalismo e Informação"
6332,Processo Criativo,"Humanidades, Artes e Linguagens"
6333,Linguagem,"Humanidades, Artes e Linguagens"
6334,Sociologia,"Ciências Sociais, Jornalismo e Informação"
6335,Marketing I,Negócios e Administração
6336,"Comunicação, Cultura e Poder",Negócios e Administração
6337,Cibercultura,Educação
6338,Desenho Digital,"Humanidades, Artes e Linguagens"
6339,História da Arte,"Humanidades, Artes e Linguagens"
6340,Marketing II,Negócios e Administração
6341,Arte e Tecnologia,"Engenharia, Produção e Construção"
6342,Ética e Legislação,Direito
6343,Introdução à Fotografia,"Humanidades, Artes e Linguagens"
6344,Antropologia,"Ciências Sociais, Jornalismo e Informação"
6345,Marketing III,Negócios e Administração
6346,Estatística Fundamental,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
6347,Teorias da Comunicação,"Engenharia, Produção e Construção"
6348,Fotografia Publicitária,Negócios e Administração
6349,Marketing IV,Negócios e Administração
6350,Pontos de Contato,Educação
6351,Planejamento e Atendimento,Saúde e Bem-Estar Social
6352,Direção de Arte,"Humanidades, Artes e Linguagens"
6353,Produção Audiovisual I,"Humanidades, Artes e Linguagens"
6354,Redação,programas genericos
6355,Economia,"Ciências Sociais, Jornalismo e Informação"
6356,Finanças Aplicadas,Negócios e Administração
6357,Pesquisa de Mercado,"Ciências Sociais, Jornalismo e Informação"
6358,História Contemporânea do Brasil,"Humanidades, Artes e Linguagens"
6359,Linguagem Aplicada,"Humanidades, Artes e Linguagens"
6360,Promoções e Incentivos,Educação
6361,Psicologia do Consumo,Psicologia e Desenvolvimento Pessoal
6362,Análise de Ambiente de Negócios Digitais,Negócios e Administração
6363,Consumo e Entretenimento Digital,Negócios e Administração
6364,Campanha Institucional e Governamental,"Agricultura, Silvicultura, Pesca e Veterinária"
6365,Linguagem de Programação,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
6366,Produção Audiovisual II,"Humanidades, Artes e Linguagens"
6367,Economia,"Ciências Sociais, Jornalismo e Informação"
6368,Arte e Design,"Humanidades, Artes e Linguagens"
6369,Expressão Escrita I,"Humanidades, Artes e Linguagens"
6370,Linguagem Visual,"Humanidades, Artes e Linguagens"
6371,Projeto I,Educação
6372,Fotografia,"Humanidades, Artes e Linguagens"
6373,Fundamentos de Gráfica,programas genericos
6374,História do Design,"Humanidades, Artes e Linguagens"
6375,Introdução ao Marketing,Negócios e Administração
6376,Projeto II,Educação
6377,Introdução a Finanças,Negócios e Administração
6378,Tipografia I,Educação
6379,Composto de Marketing,Negócios e Administração
6380,Mundo Virtual,"Ciências Sociais, Jornalismo e Informação"
6381,Produção Gráfica,"Humanidades, Artes e Linguagens"
6382,Projeto III,Educação
6383,Viabilidade Econômica de Projetos,"Agricultura, Silvicultura, Pesca e Veterinária"
6384,Branding - Marketing e Design,"Humanidades, Artes e Linguagens"
6385,Ergodesign,Educação
6386,Expressão Escrita II,"Humanidades, Artes e Linguagens"
6387,Materiais e Processos,"Engenharia, Produção e Construção"
6388,Projeto IV,Educação
6389,Estágio Supervisionado I,programas genericos
6390,Oficina Gráfica,"Humanidades, Artes e Linguagens"
6391,Psicologia do Consumidor,Direito
6392,Imagem em Movimento,"Humanidades, Artes e Linguagens"
6393,Marketing de Serviços,Negócios e Administração
6394,Projeto V,Educação
6395,Estágio Supervisionado II,programas genericos
6396,Merchandising,Negócios e Administração
6397,Análise Gráfica,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
6398,Projeto VI,programas genericos
6399,Prototipagem 3D,"Engenharia, Produção e Construção"
6400,Ecodesign,Educação
6401,Orçamento de Projeto e Produto,"Engenharia, Produção e Construção"
6402,PGD-I,Educação
6403,Plano de Marketing para Design,"Humanidades, Artes e Linguagens"
6404,Antropologia,"Ciências Sociais, Jornalismo e Informação"
6405,Ética e Legislação,Direito
6406,PGD-II,Educação
6407,Tópicos Emergentes em Design,"Humanidades, Artes e Linguagens"
6408,Sub Módulo - Flash,Educação
6409,Sub Módulo - Computação Gráfica Editorial,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
6410,Sub Módulo - Web,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
6411,Sub Módulo - Comunicação Multisensorial,"Engenharia, Produção e Construção"
6412,Sub Módulo - Introdução A Games,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
6413,Sub Módulo - Motion Graphics,Educação
6414,Sub Módulo - Percepção,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
6415,Sub Módulo - Semiótica,Educação
6416,Sub Módulo - Teoria e Aplicação da Cor,"Humanidades, Artes e Linguagens"
6417,Gestão em Design,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
6418,Sub Módulo - Criação de Fontes,"Engenharia, Produção e Construção"
6419,Sub Módulo - Projeto Editorial,Educação
6420,Sub Módulo - Tipografia II,Educação
6421,Sub Módulo - Edição de Vídeo,Educação
6422,Sub Módulo - História em Quadrinhos,Educação
6423,Sub Módulo - Desenho Animado,"Engenharia, Produção e Construção"
6424,Sub Módulo - Desenho Livre,"Engenharia, Produção e Construção"
6425,Sub Módulo - Desenho Técnico,"Engenharia, Produção e Construção"
6426,Sub Módulo - Representação Digital,"Engenharia, Produção e Construção"
6427,Escultura (Técnicas de Animação),"Humanidades, Artes e Linguagens"
6428,Arte e Design,"Humanidades, Artes e Linguagens"
6429,Expressão Escrita I,"Humanidades, Artes e Linguagens"
6430,Linguagem Visual/Cinética,"Humanidades, Artes e Linguagens"
6431,Projeto I - Inicial,Educação
6432,Estilos e Técnicas de Animação I,"Humanidades, Artes e Linguagens"
6433,Fotografia,"Humanidades, Artes e Linguagens"
6434,Fundamentos de Gráfica,programas genericos
6435,História do Design,"Humanidades, Artes e Linguagens"
6436,Projeto II - Lúdico,Educação
6437,Ergodesign I,Educação
6438,Produção Gráfica,"Humanidades, Artes e Linguagens"
6439,Tipografia I,Educação
6440,Ambientes Virtuais em 3D,Educação
6441,Fundamentos de Marketing,Negócios e Administração
6442,Projeto III - Cultura e Informação em Ambientes,"Engenharia, Produção e Construção"
6443,Ergodesign II,Educação
6444,Viabilidade Econômica de Projetos,"Agricultura, Silvicultura, Pesca e Veterinária"
6445,Branding - Marketing e Design,"Humanidades, Artes e Linguagens"
6446,Expressão Escrita II/Roteiro,"Humanidades, Artes e Linguagens"
6447,Imagem em Movimento (Vídeo-Cinema),"Humanidades, Artes e Linguagens"
6448,Projeto IV - Identidade Visual,"Humanidades, Artes e Linguagens"
6449,Antropologia Visual,Negócios e Administração
6450,Materiais e Processos,"Engenharia, Produção e Construção"
6451,"Moda, Cultura e Estamparia","Humanidades, Artes e Linguagens"
6452,Projeto V - Embalagem,Educação
6453,Animatic I,Educação
6454,Concept Art,Educação
6455,Estilos e Técnicas de Animação II,"Humanidades, Artes e Linguagens"
6456,"Projeto V - Advergames, Storytelling e Transmídia",Educação
6457,Estágio Supervisionado I,programas genericos
6458,Marketing de Serviços,Negócios e Administração
6459,Design de Superfície,"Humanidades, Artes e Linguagens"
6460,Ecodesign,Educação
6461,Merchandising,Negócios e Administração
6462,Oficina Gráfica,"Humanidades, Artes e Linguagens"
6463,Prototipagem 3D,"Engenharia, Produção e Construção"
6464,Animatic II,Educação
6465,Captura de Movimento,"Engenharia, Produção e Construção"
6466,Efeitos Visuais,"Humanidades, Artes e Linguagens"
6467,Produção de Som,"Humanidades, Artes e Linguagens"
6468,Visualização e Animação Interativa,"Ciências Sociais, Jornalismo e Informação"
6469,Estágio Supervisionado II,programas genericos
6470,Análise Estética,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
6471,Motion Graphics,Educação
6472,Projeto VI - Sistemas Informacionais,Educação
6473,"Direitos Autorais, Patrocínios e Contratos",Direito
6474,Orçamento de Projeto e Produto,"Engenharia, Produção e Construção"
6475,Tópicos Especiais em Design,"Engenharia, Produção e Construção"
6476,Gestão em Design,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
6477,PGD-I,Educação
6478,Plano de Marketing para Design,"Humanidades, Artes e Linguagens"
6479,PGD-II,Educação
6480,Sub Módulo - Análise Vetorial (Flash),"Matemática, Computação e Tecnologias de Informação e Comunicacão"
6481,Sub Módulo - Computação Gráfica Editorial,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
