,materia,a.conhecimento
1341,Alianças Estratégicas Globais,Ciências Naturais
1342,Consultoria e Projetos Empresariais,Direito
1343,TCC I,programas genericos
1344,Simulador de Negócios,Negócios e Administração
1345,TCC II,programas genericos
1346,Estágio Supervisionado,programas genericos
1347,Ética e Responsabilidade Empresarial,Negócios e Administração
1348,Introdução à Administração Contemporânea,Negócios e Administração
1349,Criatividade nos Negócios,Saúde e Bem-Estar Social
1350,Sociologia,"Ciências Sociais, Jornalismo e Informação"
1351,Matemática Aplicada na Administração,Negócios e Administração
1352,Marketing I,Negócios e Administração
1353,Finanças Empresariais,Negócios e Administração
1354,Pensamento Filosófico,"Ciências Sociais, Jornalismo e Informação"
1355,Teoria Geral do Direito,Direito
1356,Empreendedorismo,Negócios e Administração
1357,Marketing II,Negócios e Administração
1358,Teoria Geral da Administração,Negócios e Administração
1359,Direito Trabalhista,Direito
1360,Tecnologias e Sistemas de Informação,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
1361,Microeconomia,"Ciências Sociais, Jornalismo e Informação"
1362,Marketing III,Negócios e Administração
1363,Estatística Fundamental,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
1364,Psicologia Aplicada às Organizações,Psicologia e Desenvolvimento Pessoal
1365,Antropologia,"Ciências Sociais, Jornalismo e Informação"
1366,Teoria Das Organizações,Negócios e Administração
1367,Macroeconomia,"Ciências Sociais, Jornalismo e Informação"
1368,Gestão Contábil,Negócios e Administração
1369,Estatística Aplicada,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
1370,Formação de Equipes e Liderança,Psicologia e Desenvolvimento Pessoal
1371,Análise de Conjuntura Econômica,"Ciências Sociais, Jornalismo e Informação"
1372,Estratégicas de Custo e Preço,Negócios e Administração
1373,Comportamento do Consumidor,Negócios e Administração
1374,Marketing IV,Negócios e Administração
1375,Pesquisa de Mercado,"Ciências Sociais, Jornalismo e Informação"
1376,Gestão de Comunicação com o Mercado,"Matemática, Computação e Tecnologias de Informação e Comunicacão"
1377,Gestão Estratégica de Pessoas,Negócios e Administração
1378,Gestão de Operações,Negócios e Administração
